MatrixSize,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock
15728640,     4.073,     4.074,     4.074,100,128,1,122880
15728640,     5.126,     5.127,     5.127,100,128,2,245760
15728640,     8.115,     8.116,     8.116,100,128,4,491520
15728640,    11.237,    11.237,    11.237,100,128,8,983040
15728640,    14.770,    14.770,    14.770,100,128,16,1966080
15728640,    29.585,    29.588,    29.586,100,128,32,3932160
15728640,    53.830,    53.831,    53.831,100,128,64,7864320
15728640,   107.677,   107.679,   107.678,100,128,128,15728640
15728640,   186.262,   186.264,   186.263,100,128,256,31457280
15728640,   371.288,   371.289,   371.288,100,128,512,62914560
15728640,   738.857,   738.860,   738.858,100,128,1024,125829120
15728640,  1484.998,  1485.002,  1484.999,100,128,2048,251658240
2048,     0.002,     0.002,     0.002,100,128,8,128
4096,     0.003,     0.004,     0.004,100,128,8,256
8192,     0.005,     0.005,     0.005,100,128,8,512
16384,     0.009,     0.010,     0.010,100,128,8,1024
32768,     0.018,     0.020,     0.019,100,128,8,2048
65536,     0.035,     0.036,     0.035,100,128,8,4096
131072,     0.067,     0.068,     0.067,100,128,8,8192
262144,     0.132,     0.133,     0.132,100,128,8,16384
524288,     0.279,     0.280,     0.279,100,128,8,32768
2097152,     1.304,     1.305,     1.305,100,128,8,131072
1048576,     0.648,     0.649,     0.649,100,128,8,65536
4194304,     2.974,     2.975,     2.975,100,128,8,262144
8388608,     5.020,     5.020,     5.020,100,128,8,524288
16777216,     9.937,     9.937,     9.937,100,128,8,1048576
33554432,    19.785,    19.785,    19.785,100,128,8,2097152
67108864,    33.682,    33.683,    33.682,100,128,8,4194304
134217728,    61.747,    61.748,    61.747,100,128,8,8388608
268435456,   117.983,   117.984,   117.984,100,128,8,16777216
536870912,   230.854,   230.854,   230.854,100,128,8,33554432
1048576,     0.283,     0.284,     0.283,100,128,2,16384
15728640,     4.091,     4.092,     4.092,100,128,1,122880
15728640,     5.157,     5.159,     5.158,100,128,2,245760
15728640,     6.571,     6.572,     6.571,100,128,3,368640
1024,     0.001,     0.002,     0.002,100,128,4,32
2048,     0.002,     0.003,     0.002,100,128,4,64
4096,     0.003,     0.004,     0.003,100,128,4,128
8192,     0.004,     0.005,     0.004,100,128,4,256
16384,     0.007,     0.008,     0.008,100,128,4,512
32768,     0.013,     0.014,     0.013,100,128,4,1024
65536,     0.025,     0.026,     0.025,100,128,4,2048
131072,     0.045,     0.046,     0.046,100,128,4,4096
262144,     0.122,     0.123,     0.123,100,128,4,8192
524288,     0.181,     0.182,     0.182,100,128,4,16384
1048576,     0.388,     0.388,     0.388,100,128,4,32768
2097152,     0.942,     0.942,     0.942,100,128,4,65536
4194304,     1.837,     1.837,     1.837,100,128,4,131072
8388608,     4.019,     4.019,     4.019,100,128,4,262144
16777216,     7.201,     7.202,     7.201,100,128,4,524288
33554432,    14.086,    14.086,    14.086,100,128,4,1048576
67108864,    24.614,    24.615,    24.615,100,128,4,2097152
134217728,    40.092,    40.092,    40.092,100,128,4,4194304
268435456,    74.799,    74.799,    74.799,100,128,4,8388608
