Name,MatrixSize,AvgRow,MinTime,MaxTime,AvgTime,AvgBcastTime,AvgMatmulTime,AvgReduceTime,TotalRun,nProcess,NonZeroPerRow,AvgNonZeroPerBlock,MaxNonZeroPerBlock
input/nlpkkt160,8345600,278187,33.924,33.924,33.924,3.896,24.751,5.225,100,900,0.892,245747,248256
input/nlpkkt200,16000000,541334,66.729,66.73,66.729,5.513,55.868,5.301,100,900,0.89,479984,482031
input/copter2,55476,1850,0.211,0.212,0.212,0.106,0.032,0.072,100,900,0.472,782,874
input/coPapersCiteseer,434102,14471,1.836,1.837,1.837,0.523,0.856,0.452,100,900,2.623,35637,37960
input/ecology1,1000000,33334,2.332,2.333,2.332,0.701,0.457,1.171,100,900,0.14,4440,4667
input/thermal2,1227087,40903,2.958,2.959,2.958,0.798,0.754,1.402,100,900,0.207,8169,8467
input/G3,1585478,52850,3.352,3.353,3.353,0.98,0.874,1.492,100,900,0.132,6750,6991
input/kkt,2063494,68784,4.608,4.609,4.608,1.098,1.681,1.823,100,900,0.216,14405,14882
input/af,1508065,50269,5.786,5.787,5.787,0.928,2.511,2.345,100,900,1.146,56849,57594
input/AS365,3799275,126643,8.372,8.373,8.373,1.554,3.742,3.055,100,900,0.203,25262,25742
input/uk-2002,19000000,617350,67.102,67.103,67.103,5.477,48.364,13.173,100,900,0.963,581749,594434
input/europe,51000000,1697068,68.368,68.369,68.368,19.115,27.78,21.302,100,900,0.071,120121,121116
input/asia,12000000,398359,20.975,20.975,20.975,8.254,6.595,6.05,100,900,0.072,28248,28706
input/cage15,5154859,171829,17.315,17.316,17.316,2.037,11.262,3.991,100,900,0.615,104494,105670
input/NLR,4163763,138793,9.156,9.156,9.156,1.724,4.181,3.227,100,900,0.204,27751,28295
input/M6,3501776,116726,7.775,7.776,7.775,1.528,3.41,2.817,100,900,0.204,23337,23844
input/333SP,3712815,123761,8.235,8.236,8.236,1.572,3.612,3.034,100,900,0.203,24685,25092
input/coPapersDBLP,540486,18017,2.126,2.127,2.126,0.598,0.957,0.566,100,900,1.948,33879,35098
input/nlpkkt240,28000000,933120,116.034,116.035,116.035,10.753,89.798,15.292,100,900,0.892,829420,832420
input/nlpkkt160,8345600,834560,  1437.561,  1437.706,  1437.602,  1273.253,    12.131,   138.172,100,100,     2.654,2211725.000,2214824
input/nlpkkt240,27993600,2799360,  5237.476,  5237.901,  5237.655,  4829.591,    69.271,   291.296,100,100,     2.669,7464787.000,7472435
input/cage15,5154859,515486,    22.888,  1674.941,   512.861,    12.685,     6.386,     8.400,100,100,     1.828,940446.000,942452
input/G3,1585478,158548,    11.877,   583.768,   116.293,    14.932,     0.793,     8.037,100,100,     0.386, 60753.000,61213
input/kkt,2063494,206350,    15.210,   780.647,   162.761,    10.215,     1.347,    10.155,100,100,     0.638,129646.000,131744
input/ecology1,1000000,100000,    13.532,   404.122,   100.782,    14.345,     0.451,     7.321,100,100,     0.405, 39960.000,40530
input/uk-2002,18520486,1852049,   321.867,  2051.649,   856.809,   127.953,    40.703,   155.185,100,100,     2.863,5235745.000,5302936
input/asia,11950757,1195076,   126.787,  2136.317,   628.681,    83.858,     5.629,    53.345,100,100,     0.213,254232.000,255069
input/NLR,4163763,416377,    18.542,   938.180,   260.367,    11.965,     2.916,    11.871,100,100,     0.603,249759.000,250878
input/coPapersDBLP,540486,54049,    10.376,   247.929,    59.790,    11.535,     1.148,     8.713,100,100,     5.803,304914.000,313656
input/coPapersCiteseer,434102,43411,    14.935,   189.563,    64.668,    11.174,     1.040,    12.512,100,100,     7.488,320734.000,325073
input/copter2,55476,5548,     1.370,    57.607,    18.759,     0.008,     0.034,    22.887,100,100,     1.315,  7044.000,7294
input/333SP,3712815,371282,    12.489,  1275.723,   276.485,     9.714,     2.442,    16.236,100,100,     0.601,222172.000,223097
input/AS365,3799275,379928,    18.587,  1346.771,   396.359,    12.301,     2.594,    13.791,100,100,     0.601,227361.000,228484
input/europe,50912018,5091202,   921.244,  9232.306,  3071.455,   219.625,    26.327,   686.902,100,100,     0.213,1081093.000,1083514
input/M6,3501776,350178,    18.467,   821.391,   258.341,    10.009,     2.402,    11.942,100,100,     0.603,210038.000,211263
input/nlpkkt200,16240000,1624000,   317.775,  3147.946,  1064.977,   101.873,    35.743,   192.959,100,100,     2.662,4319856.000,4323392
input/thermal2,1227087,122709,    11.183,   469.024,   112.205,    18.079,     0.736,    11.393,100,100,     0.604, 73522.000,74087
