MatrixSize,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,Sparsity,AvgCommunication,AvgInterProcessCall
1048576,     1.455,     1.456,     1.455,100,128,8,65536,2,0,0
1048576,     2.485,     2.485,     2.485,100,128,16,131072,2,0,0
1048576,     5.103,     5.104,     5.104,100,128,32,262144,2,0,0
1048576,     8.473,     8.473,     8.473,100,128,64,524288,2,0,0
1048576,    16.455,    16.456,    16.455,100,128,128,1048576,2,0,0
1048576,    32.263,    32.264,    32.263,100,128,256,2097152,2,0,0
1048576,    63.914,    63.915,    63.914,100,128,512,4194304,2,0,0
1048576,   129.814,   129.815,   129.815,100,128,1024,8388608,2,0,0
1048576,   304.194,   304.195,   304.194,100,128,2048,16777216,2,0,0
1048576,   513.687,   513.688,   513.687,100,128,4096,33554432,2,0,0
1048576,     0.327,     0.329,     0.328,100,128,1,8192,2,0,0
1048576,     0.476,     0.477,     0.477,100,128,2,16384,2,0,0
1048576,     0.599,     0.600,     0.600,100,128,3,24576,2,0,0
1048576,     0.905,     0.905,     0.905,100,128,4,32768,2,0,0
1048576,     1.088,     1.089,     1.089,100,128,5,40960,2,0,0
1048576,     0.974,     0.975,     0.975,100,128,6,49152,2,0,0
1048576,     1.379,     1.380,     1.380,100,128,7,57344,2,0,0
1048576,     1.691,     1.692,     1.691,100,128,9,73728,2,0,0
1048576,     1.721,     1.722,     1.721,100,128,10,81920,2,0,0
