MatrixSize,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,Sparsity,AvgCommunication,AvgInterProcessCall
15728640,   787.320,   787.326,   787.323,10,128,256,31457280,1,1919,127
15728640,   827.315,   827.320,   827.318,10,128,256,31457280,2,4742,127
15728640,  1560.813,  1560.820,  1560.817,10,128,256,31457280,3,6588,127
15728640,   926.339,   926.346,   926.343,10,128,256,31457280,4,9303,127
15728640,  1141.367,  1141.375,  1141.371,10,128,256,31457280,8,17902,127
15728640,  2374.089,  2374.096,  2374.093,10,128,256,31457280,10,21954,127
15728640,  1184.458,  1186.736,  1184.519,10,128,256,31457280,16,33197,127
15728640,  1362.338,  1364.960,  1363.652,10,128,256,31457280,20,40637,127
15728640,  1721.022,  1721.033,  1721.029,10,128,256,31457280,32,57938,127
15728640,  1952.986,  1957.868,  1953.179,10,128,256,31457280,100,106247,127
15728640,  1520.610,  1521.432,  1520.619,10,128,256,31457280,40,67835,127
15728640,  1632.223,  1635.844,  1632.269,10,128,256,31457280,64,88828,127
15728640,  1968.106,  1968.117,  1968.109,10,128,256,31457280,80,98222,127
15728640,  1611.464,  1613.760,  1611.493,10,128,256,31457280,50,78024,127
15728640,  1628.889,  1628.905,  1628.896,10,128,256,31457280,60,86036,127
15728640,  1390.884,  1390.894,  1390.887,10,128,256,31457280,30,55331,127
15728640,  2236.435,  2238.502,  2236.474,10,128,256,31457280,90,102786,127
