,Name,AvgCommunication,AvgInterProcessCall,MaxRow,DiagonalElem,OffDiagonalElem,NonZeroPerRow,NonZeroPerBlock,AvgTime,PredictedRunTime,Error
9,input/ecology1,70.23400000000001,5.311999999999999,7850,30846,414,4.0,31400,0.5942666666666666,1.746774375886834,2.939378016412667
2,input/G3,124.48399999999997,5.093999999999999,12697,47322,616,3.0,49345,0.9457333333333335,1.8659483098368457,1.973017386687768
15,input/thermal2,74.641,5.0,9847,56486,603,6.0,59024,1.079,2.1523473388185668,1.9947612037243436
11,input/kkt,196.68800000000005,18.516,16605,93508,6820,6.0,114851,2.737933333333333,2.678885492498475,0.9784334263672632
3,input/M6,121.508,5.25,28120,161650,1272,6.0,168664,2.987,3.429312943252563,1.1480793248250964
0,input/333SP,93.141,4.516,29821,172568,308,6.0,178849,3.438,3.5445385487834944,1.030988524951569
1,input/AS365,121.719,5.141,30486,176362,1552,6.0,182905,3.283,3.5957145106323565,1.0952526684838126
4,input/NLR,127.77299999999997,5.4060000000000015,33402,193582,1488,6.0,200418,3.911133333333333,3.8012700897764327,0.9719101257375782
5,input/asia,4.140999999999999,4.156,95360,189120,12,2.0,240251,6.613733333333332,5.891191423890511,0.8907512787367465
8,input/coPapersDBLP,85.57799999999999,126.875,4349,188288,28750,128.0,543489,6.996733333333333,17.131908144462113,2.448558109660048
10,input/europe,18.516,5.188,399259,898454,124,2.0,898578,30.09,21.65275824742922,0.7195998088211771
7,input/coPapersCiteseer,36.45299999999999,122.32799999999999,3493,262434,28816,260.0,908341,6.771266666666666,32.067868014682276,4.735874333903398
6,input/cage15,1357.195,37.312000000000005,41482,602278,67195,34.0,1435555,18.075933333333335,12.977257988235381,0.7179301753843258
12,input/nlpkkt160,1503.3120000000006,10.468999999999998,67159,1589682,73572,27.0,1813293,15.684533333333336,15.142832874528603,0.9654627621177934
13,input/nlpkkt200,2298.391,10.609000000000002,130687,3154656,142746,27.0,3528549,29.15,26.05906831583208,0.8939646077472412
14,input/nlpkkt240,3256.828000000001,10.75,225271,5714858,222010,27.0,6082317,60.37606666666667,42.310304598551625,0.7007794136730496
16,input/uk-2002,273.852,124.03099999999996,149039,9520000,25229,66.0,9545229,68.04220000000001,61.85627036672546,0.9090868661907677
