GraphName,MatrixSize,AvgTime,TotalRun,Threads,NonZeroPerRow,NonZeroElements,AffinityType,ReserveNodes
nlpkkt160_original,8345600,32.354128,100,272,    26.502,221172512,balance,1
ecology1_original,1000000,1.231833,100,272,     3.996,3996000,balance,1
G3_circuit_original,1585478,1.874845,100,272,     3.832,6075348,balance,1
copter2_original,55476,0.227967,100,272,    12.699,704476,balance,1
kkt_power_original,2063494,20.899487,100,272,     6.283,12964640,balance,1
thermal2_original,1227087,1.635389,100,272,     5.992,7352268,balance,1
copter2_original,55476,0.226707,100,272,    12.699,704476,compact,1
NLR_original,4163763,6.999253,100,272,     5.998,24975952,balance,1
asia_original,11950757,12.174206,100,272,     2.127,25423206,balance,1
ecology1_original,1000000,1.234925,100,272,     3.996,3996000,compact,1
G3_circuit_original,1585478,1.894044,100,272,     3.832,6075348,compact,1
333SP_original,3712815,5.391704,100,272,     5.984,22217266,balance,1
coPapersDBLP_original,540486,2.281563,100,272,    56.415,30491458,balance,1
thermal2_original,1227087,1.656583,100,272,     5.992,7352268,compact,1
AS365_original,3799275,6.486417,100,272,     5.984,22736152,balance,1
kkt_power_original,2063494,2.975413,100,272,     6.283,12964640,compact,1
M6_original,3501776,6.009895,100,272,     5.998,21003872,balance,1
coPapersCiteseer_original,434102,1.998753,100,272,    73.885,32073440,balance,1
M6_original,3501776,5.999472,100,272,     5.998,21003872,compact,1
333SP_original,3712815,5.373936,100,272,     5.984,22217266,compact,1
AS365_original,3799275,6.461608,100,272,     5.984,22736152,compact,1
NLR_original,4163763,6.958157,100,272,     5.998,24975952,compact,1
asia_original,11950757,12.270024,100,272,     2.127,25423206,compact,1
coPapersDBLP_original,540486,2.299455,100,272,    56.415,30491458,compact,1
coPapersCiteseer_original,434102,1.996576,100,272,    73.885,32073440,compact,1
af_shell10_original,1508065,2.989198,100,272,    33.927,51164260,balance,1
G3_circuit_original,1585478,1.886048,100,272,     3.832,6075348,scatter,1
ecology1_original,1000000,1.222457,100,272,     3.996,3996000,scatter,1
af_shell10_original,1508065,2.962098,100,272,    33.927,51164260,compact,1
kkt_power_original,2063494,2.932263,100,272,     6.283,12964640,scatter,1
copter2_original,55476,18.098269,100,272,    12.699,704476,scatter,1
cage15_original,5154859,9.454609,100,272,    18.244,94044692,balance,1
thermal2_original,1227087,1.618020,100,272,     5.992,7352268,scatter,1
NLR_original,4163763,7.069093,100,272,     5.998,24975952,scatter,1
asia_original,11950757,12.465998,100,272,     2.127,25423206,scatter,1
333SP_original,3712815,5.915316,100,272,     5.984,22217266,scatter,1
M6_original,3501776,6.026175,100,272,     5.998,21003872,scatter,1
coPapersDBLP_original,540486,2.288835,100,272,    56.415,30491458,scatter,1
AS365_original,3799275,6.450367,100,272,     5.984,22736152,scatter,1
coPapersCiteseer_original,434102,1.998810,100,272,    73.885,32073440,scatter,1
cage15_original,5154859,9.202365,100,272,    18.244,94044692,compact,1
af_shell10_original,1508065,2.976219,100,272,    33.927,51164260,scatter,1
europe_original,50912018,51.531016,100,272,     2.123,108109320,balance,1
europe_original,50912018,51.618427,100,272,     2.123,108109320,compact,1
cage15_original,5154859,9.123176,100,272,    18.244,94044692,scatter,1
europe_original,50912018,69.848681,100,272,     2.123,108109320,scatter,1
nlpkkt160_original,8345600,14.257877,100,272,    26.502,221172512,balance,1
nlpkkt160_original,8345600,15.158709,100,272,    26.502,221172512,compact,1
nlpkkt160_original,8345600,32.428256,100,272,    26.502,221172512,scatter,1
nlpkkt200_original,16240000,28.219809,100,272,    26.600,431985632,balance,1
nlpkkt200_original,16240000,34.210609,100,272,    26.600,431985632,compact,1
nlpkkt200_original,16240000,28.152955,100,272,    26.600,431985632,scatter,1
uk,18520486,50.050603,100,272,    28.270,523574516,balance,1
uk,18520486,37.414387,100,272,    28.270,523574516,compact,1
uk,18520486,36.068811,100,272,    28.270,523574516,scatter,1
nlpkkt240_original,27993600,51.765758,100,272,    26.666,746478752,balance,1
nlpkkt240_original,27993600,76.669266,100,272,    26.666,746478752,compact,1
nlpkkt240_original,27993600,75.179518,100,272,    26.666,746478752,scatter,1
