MatrixSize,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,Bandwidth,Gap
15728640,    27.883,    27.884,    27.883,100,128,32,3932160,125,4
15728640,    27.789,    27.790,    27.790,100,128,32,3932160,249,8
15728640,    27.858,    27.858,    27.858,100,128,32,3932160,497,16
15728640,    27.878,    27.879,    27.878,100,128,32,3932160,993,32
15728640,    28.411,    28.412,    28.411,100,128,32,3932160,1985,64
15728640,    28.980,    28.981,    28.980,100,128,32,3932160,3969,128
15728640,    28.600,    28.600,    28.600,100,128,32,3932160,3101,100
15728640,    28.664,    28.665,    28.664,100,128,32,3932160,4651,150
15728640,    28.315,    28.316,    28.316,100,128,32,3932160,6201,200
15728640,    32.037,    32.038,    32.038,100,128,32,3932160,7937,256
15728640,    29.644,    29.644,    29.644,100,128,32,3932160,9301,300
15728640,    29.582,    29.583,    29.582,100,128,32,3932160,10851,350
15728640,    28.739,    28.739,    28.739,100,128,32,3932160,12401,400
15728640,    29.912,    29.913,    29.912,100,128,32,3932160,13951,450
15728640,    30.272,    30.273,    30.273,100,128,32,3932160,15873,512
15728640,    28.900,    28.901,    28.901,100,128,32,3932160,17051,550
15728640,    29.359,    29.359,    29.359,100,128,32,3932160,18601,600
15728640,    29.231,    29.231,    29.231,100,128,32,3932160,20151,650
15728640,    29.082,    29.083,    29.083,100,128,32,3932160,21701,700
15728640,    29.760,    29.760,    29.760,100,128,32,3932160,23251,750
15728640,    28.855,    28.856,    28.855,100,128,32,3932160,24801,800
15728640,    29.766,    29.767,    29.767,100,128,32,3932160,26351,850
15728640,    30.548,    30.549,    30.548,100,128,32,3932160,27901,900
15728640,    31.858,    31.859,    31.859,100,128,32,3932160,29451,950
15728640,    73.651,    73.651,    73.651,100,128,32,3932160,31745,1024
15728640,    29.705,    29.705,    29.705,100,128,32,3932160,34101,1100
15728640,    55.297,    55.298,    55.298,100,128,32,3932160,63489,2048
