MatrixSize,AvgTime,TotalRun,Threads,NonZeroPerRow,NonZeroElements,AffinityType
1000000000,  3355.543,100,18,2,2000000000,scatter
1000000000,  6545.785,100,8,2,2000000000,scatter
1000000000,  8756.687,100,8,2,2000000000,compact
1000000000,  6578.646,100,8,2,2000000000,balance
1000000000,  5592.850,100,9,2,2000000000,scatter
1000000000, 14221.840,100,4,2,2000000000,scatter
1000000000, 15747.925,100,4,2,2000000000,compact
1000000000, 17255.156,100,4,2,2000000000,balance
1000000000,  7658.672,100,9,2,2000000000,compact
1000000000,  5573.355,100,9,2,2000000000,balance
1000000000, 25412.088,100,2,2,2000000000,scatter
1000000000, 30096.538,100,2,2,2000000000,compact
1000000000, 34554.928,100,2,2,2000000000,balance
1000000000, 36910.327,100,1,2,2000000000,scatter
1000000000,  3761.892,100,18,2,2000000000,compact
1000000000, 60347.589,100,1,2,2000000000,compact
1000000000,  3810.621,100,18,2,2000000000,balance
1000000000, 40161.729,100,1,2,2000000000,balance
1000000000,  4367.404,100,16,2,2000000000,scatter
1000000000,  3687.465,100,16,2,2000000000,compact
1000000000,  4457.892,100,16,2,2000000000,balance
1000000000,  2636.785,100,35,2,2000000000,scatter
1000000000,  2470.043,100,34,2,2000000000,scatter
1000000000,  2607.442,100,33,2,2000000000,scatter
1000000000,  2518.599,100,31,2,2000000000,scatter
1000000000,  2735.376,100,30,2,2000000000,scatter
1000000000, 11741.238,100,5,2,2000000000,scatter
1000000000,  9745.884,100,6,2,2000000000,scatter
1000000000, 22234.779,100,3,2,2000000000,scatter
1000000000,  7667.068,100,7,2,2000000000,scatter
1000000000,  5449.843,100,10,2,2000000000,scatter
1000000000,  5433.923,100,11,2,2000000000,scatter
1000000000,  4737.674,100,12,2,2000000000,scatter
1000000000,  4381.000,100,13,2,2000000000,scatter
1000000000,  4090.354,100,14,2,2000000000,scatter
1000000000,  4025.452,100,15,2,2000000000,scatter
1000000000,  3719.597,100,17,2,2000000000,scatter
1000000000,  3866.693,100,19,2,2000000000,scatter
1000000000,  3318.011,100,20,2,2000000000,scatter
1000000000,  3269.523,100,21,2,2000000000,scatter
1000000000,  3405.877,100,22,2,2000000000,scatter
1000000000,  2942.475,100,23,2,2000000000,scatter
1000000000,  2816.330,100,24,2,2000000000,scatter
1000000000,  2808.741,100,25,2,2000000000,scatter
1000000000,  2810.591,100,26,2,2000000000,scatter
1000000000,  2984.084,100,27,2,2000000000,scatter
1000000000,  2636.985,100,28,2,2000000000,scatter
1000000000,  2807.754,100,29,2,2000000000,scatter
