MatrixSize,AvgTime,TotalRun,Threads,NonZeroPerRow,NonZeroElements,AffinityType
1000000000,  4193.171,100,1,2,2000000000,scatter
1000000000,  1317.756,100,18,2,2000000000,scatter
1000000000,  4202.366,100,8,2,2000000000,scatter
1000000000,  4054.781,100,8,2,2000000000,compact
1000000000,  4265.695,100,8,2,2000000000,balance
1000000000,  4318.703,100,4,2,2000000000,scatter
1000000000,  4252.863,100,4,2,2000000000,compact
1000000000,  4476.060,100,4,2,2000000000,balance
1000000000,  5012.719,100,2,2,2000000000,compact
1000000000,  5430.113,100,2,2,2000000000,scatter
1000000000,  4059.814,100,1,2,2000000000,compact
1000000000,  4840.516,100,2,2,2000000000,balance
1000000000,  3771.428,100,9,2,2000000000,scatter
1000000000,  4044.376,100,1,2,2000000000,balance
1000000000,  4142.922,100,9,2,2000000000,compact
1000000000,  4269.902,100,9,2,2000000000,balance
1000000000,  1487.372,100,18,2,2000000000,compact
1000000000,  1455.810,100,18,2,2000000000,balance
1000000000,  1469.968,100,16,2,2000000000,scatter
1000000000,  1703.340,100,16,2,2000000000,compact
1000000000,  1458.233,100,16,2,2000000000,balance
1000000000,  1133.201,100,35,2,2000000000,scatter
1000000000,  1159.899,100,34,2,2000000000,scatter
1000000000,  1144.689,100,33,2,2000000000,scatter
1000000000,  1147.336,100,31,2,2000000000,scatter
1000000000,  1188.957,100,30,2,2000000000,scatter
1000000000,  5866.630,100,3,2,2000000000,scatter
1000000000,  4373.644,100,5,2,2000000000,scatter
1000000000,  3817.715,100,6,2,2000000000,scatter
1000000000,  3371.416,100,7,2,2000000000,scatter
1000000000,  2451.193,100,10,2,2000000000,scatter
1000000000,  2242.139,100,11,2,2000000000,scatter
1000000000,  2089.692,100,12,2,2000000000,scatter
1000000000,  1937.586,100,13,2,2000000000,scatter
1000000000,  1810.869,100,14,2,2000000000,scatter
1000000000,  1727.329,100,15,2,2000000000,scatter
1000000000,  1551.159,100,17,2,2000000000,scatter
1000000000,  1412.334,100,19,2,2000000000,scatter
1000000000,  1402.889,100,20,2,2000000000,scatter
1000000000,  1365.633,100,21,2,2000000000,scatter
1000000000,  1265.911,100,22,2,2000000000,scatter
1000000000,  1279.014,100,23,2,2000000000,scatter
1000000000,  1260.112,100,24,2,2000000000,scatter
1000000000,  1228.989,100,25,2,2000000000,scatter
1000000000,  1200.064,100,26,2,2000000000,scatter
1000000000,  1213.085,100,27,2,2000000000,scatter
1000000000,  1199.451,100,28,2,2000000000,scatter
1000000000,  1126.300,100,29,2,2000000000,scatter
