GraphName,MatrixSize,AvgTime,TotalRun,Threads,NonZeroPerRow,NonZeroElements,AffinityType,ReserveNodes
nlpkkt160_original,8345600,    38.106,1000,36,    26.502,221172512,compact,36
nlpkkt160_original,8345600,    38.325,1000,36,    26.502,221172512,compact,36
nlpkkt240_original,27993600,   129.362,1000,36,    26.666,746478752,compact,36
nlpkkt240_original,27993600,   129.259,1000,36,    26.666,746478752,compact,36
cage15_original,5154859,    17.941,1000,36,    18.244,94044692,compact,36
G3_circuit_original,1585478,     2.264,1000,36,     3.832,6075348,compact,36
kkt_power_original,2063494,     3.633,1000,36,     6.283,12964640,compact,36
ecology1_original,1000000,     1.412,1000,36,     3.996,3996000,compact,36
uk,18520486,    85.134,1000,36,    28.270,523574516,compact,36
nlpkkt160_original,8345600,    38.224,1000,36,    26.502,221172512,balance,36
asia_original,11950757,    13.842,1000,36,     2.127,25423206,compact,36
NLR_original,4163763,     8.343,1000,36,     5.998,24975952,compact,36
coPapersDBLP_original,540486,     4.617,1000,36,    56.415,30491458,compact,36
coPapersCiteseer_original,434102,     4.689,1000,36,    73.885,32073440,compact,36
copter2_original,55476,     0.083,1000,36,    12.699,704476,compact,36
333SP_original,3712815,     6.407,1000,36,     5.984,22217266,compact,36
AS365_original,3799275,     7.475,1000,36,     5.984,22736152,compact,36
europe_original,50912018,    58.692,1000,36,     2.123,108109320,compact,36
M6_original,3501776,     6.476,1000,36,     5.998,21003872,compact,36
nlpkkt240_original,27993600,   130.116,1000,36,    26.666,746478752,balance,36
cage15_original,5154859,    18.265,1000,36,    18.244,94044692,balance,36
G3_circuit_original,1585478,     2.313,1000,36,     3.832,6075348,balance,36
kkt_power_original,2063494,     3.750,1000,36,     6.283,12964640,balance,36
ecology1_original,1000000,     1.453,1000,36,     3.996,3996000,balance,36
nlpkkt200_original,16240000,    74.510,1000,36,    26.600,431985632,compact,36
thermal2_original,1227087,     1.831,1000,36,     5.992,7352268,compact,36
nlpkkt160_original,8345600,    38.354,1000,36,    26.502,221172512,scatter,36
uk,18520486,    85.916,1000,36,    28.270,523574516,balance,36
asia_original,11950757,    14.053,1000,36,     2.127,25423206,balance,36
NLR_original,4163763,     8.241,1000,36,     5.998,24975952,balance,36
coPapersDBLP_original,540486,     4.528,1000,36,    56.415,30491458,balance,36
coPapersCiteseer_original,434102,     4.677,1000,36,    73.885,32073440,balance,36
copter2_original,55476,     0.083,1000,36,    12.699,704476,balance,36
333SP_original,3712815,     6.469,1000,36,     5.984,22217266,balance,36
AS365_original,3799275,     7.094,1000,36,     5.984,22736152,balance,36
europe_original,50912018,    59.401,1000,36,     2.123,108109320,balance,36
M6_original,3501776,     6.439,1000,36,     5.998,21003872,balance,36
nlpkkt240_original,27993600,   128.611,1000,36,    26.666,746478752,scatter,36
cage15_original,5154859,    18.103,1000,36,    18.244,94044692,scatter,36
G3_circuit_original,1585478,     2.320,1000,36,     3.832,6075348,scatter,36
kkt_power_original,2063494,     3.858,1000,36,     6.283,12964640,scatter,36
ecology1_original,1000000,     1.423,1000,36,     3.996,3996000,scatter,36
nlpkkt200_original,16240000,    73.976,1000,36,    26.600,431985632,balance,36
thermal2_original,1227087,     1.883,1000,36,     5.992,7352268,balance,36
uk,18520486,    85.511,1000,36,    28.270,523574516,scatter,36
asia_original,11950757,    13.714,1000,36,     2.127,25423206,scatter,36
NLR_original,4163763,     8.211,1000,36,     5.998,24975952,scatter,36
coPapersDBLP_original,540486,     4.494,1000,36,    56.415,30491458,scatter,36
coPapersCiteseer_original,434102,     4.589,1000,36,    73.885,32073440,scatter,36
copter2_original,55476,     0.084,1000,36,    12.699,704476,scatter,36
333SP_original,3712815,     6.362,1000,36,     5.984,22217266,scatter,36
AS365_original,3799275,     7.414,1000,36,     5.984,22736152,scatter,36
europe_original,50912018,    59.481,1000,36,     2.123,108109320,scatter,36
M6_original,3501776,     7.003,1000,36,     5.998,21003872,scatter,36
nlpkkt200_original,16240000,    74.824,1000,36,    26.600,431985632,scatter,36
thermal2_original,1227087,     1.971,1000,36,     5.992,7352268,scatter,36
