MatrixSize,AvgTime,TotalRun,Threads,NonZeroPerRow,NonZeroElements,AffinityType
1000000000,  2455.905,100,36,2,2000000000,scatter
1000000000,  2790.302,100,32,2,2000000000,scatter
1000000000,  3780.021,100,18,2,2000000000,scatter
1000000000,  4175.546,100,16,2,2000000000,scatter
1000000000,  7231.674,100,9,2,2000000000,scatter
1000000000,  8334.130,100,8,2,2000000000,scatter
1000000000, 17046.628,100,4,2,2000000000,scatter
1000000000,  2578.954,100,36,2,2000000000,compact
1000000000,  2386.733,100,36,2,2000000000,balance
1000000000,  2733.455,100,32,2,2000000000,compact
1000000000,  2672.195,100,32,2,2000000000,balance
1000000000,  4131.266,100,16,2,2000000000,compact
1000000000,  3760.240,100,18,2,2000000000,compact
1000000000,  3764.071,100,18,2,2000000000,balance
1000000000, 31837.101,100,2,2,2000000000,scatter
1000000000,  4177.294,100,16,2,2000000000,balance
1000000000,  7494.753,100,9,2,2000000000,compact
1000000000,  7355.906,100,9,2,2000000000,balance
1000000000,  8044.348,100,8,2,2000000000,compact
1000000000, 37073.721,100,1,2,2000000000,scatter
1000000000,  8452.940,100,8,2,2000000000,balance
1000000000, 16598.203,100,4,2,2000000000,compact
1000000000, 16278.587,100,4,2,2000000000,balance
1000000000, 31937.284,100,2,2,2000000000,compact
1000000000, 31985.537,100,2,2,2000000000,balance
