MatrixSize,AvgTime,TotalRun,Threads,NonZeroPerRow,NonZeroElements,AffinityType
1000000000,  1108.645,100,36,2,2000000000,scatter
1000000000,  1121.837,100,32,2,2000000000,scatter
1000000000,  1493.452,100,18,2,2000000000,scatter
1000000000,  1610.474,100,16,2,2000000000,scatter
1000000000,  2693.808,100,9,2,2000000000,scatter
1000000000,  2981.377,100,8,2,2000000000,scatter
1000000000,  5051.052,100,4,2,2000000000,scatter
1000000000,  5221.076,100,2,2,2000000000,scatter
1000000000,  4064.019,100,1,2,2000000000,scatter
1000000000,  1092.750,100,36,2,2000000000,compact
1000000000,  1124.357,100,36,2,2000000000,balance
1000000000,  1142.161,100,32,2,2000000000,compact
1000000000,  1132.396,100,32,2,2000000000,balance
1000000000,  1496.093,100,18,2,2000000000,compact
1000000000,  1480.047,100,18,2,2000000000,balance
1000000000,  1611.040,100,16,2,2000000000,compact
1000000000,  1654.628,100,16,2,2000000000,balance
1000000000,  2677.089,100,9,2,2000000000,compact
1000000000,  2691.128,100,9,2,2000000000,balance
1000000000,  2986.378,100,8,2,2000000000,compact
1000000000,  2963.200,100,8,2,2000000000,balance
1000000000,  5045.999,100,4,2,2000000000,compact
1000000000,  5071.746,100,4,2,2000000000,balance
1000000000,  5358.050,100,2,2,2000000000,compact
1000000000,  5371.054,100,2,2,2000000000,balance
1000000000,  4007.090,100,1,2,2000000000,compact
1000000000,  4029.347,100,1,2,2000000000,balance
