Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,AvgCommunication,AvgInterProcessCall,SizeOfData,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
nlpkkt160_16,8345600,530537,0.000000,0.000000,0.000000,100,16,26.000000,14174922,7383.000000,6.500000,8,13484074,246564,5742760,13437
cage15_16,5154859,331860,0.000000,0.000000,0.000000,100,16,25.000000,8443280,16204.000000,11.500000,8,4295422,236004,4938584,304332
G3_circuit_16,1585478,99188,0.000000,0.000000,0.000000,100,16,3.000000,382948,295.875000,4.125000,8,377460,1486,1183712,78793
kkt_power_16,2063494,132551,0.000000,0.000000,0.000000,100,16,6.000000,870155,907.875000,5.750000,8,853760,16395,1722905,100054
ecology1_16,1000000,62565,0.000000,0.000000,0.000000,100,16,4.000000,250120,209.625000,4.125000,8,248872,976,812226,671
nlpkkt160_25,8345600,343313,0.000000,0.000000,0.000000,100,25,27.000000,9130320,5426.640000,7.520000,8,8483222,150056,5933169,9224
asia_16,11950757,752896,0.000000,0.000000,0.000000,100,16,2.000000,1663625,8.062500,3.125000,8,1538066,18,10443669,747769
NLR_16,4163763,260558,0.000000,0.000000,0.000000,100,16,6.000000,1563342,414.812500,4.250000,8,1557406,3082,3121414,260390
uk,18520486,1191158,0.000000,0.000000,0.000000,100,16,40.000000,46617918,8807.500000,15.000000,8,35606656,235757,18519888,1189840
coPapersDBLP_16,540486,34795,0.000000,0.000000,0.000000,100,16,81.000000,2823529,3639.812500,15.000000,8,1806870,232371,540486,34726
coPapersCiteseer_16,434102,27912,0.000000,0.000000,0.000000,100,16,95.000000,2601330,1665.375000,15.000000,8,2039584,139321,434038,27900
copter2_16,55476,3571,0.000000,0.000000,0.000000,100,16,13.000000,47381,143.187500,6.125000,8,39596,3336,55093,3561
333SP_16,3712815,232725,0.000000,0.000000,0.000000,100,16,5.000000,1395634,285.875000,3.375000,8,1385582,384,2778544,232584
AS365_16,3799275,238196,0.000000,0.000000,0.000000,100,16,6.000000,1429108,396.312500,3.875000,8,1419904,3521,3795005,238167
M6_16,3501776,219229,0.000000,0.000000,0.000000,100,16,6.000000,1315186,397.000000,4.000000,8,1311328,1975,1531970,219198
europe_16,50912018,3199118,0.000000,0.000000,0.000000,100,16,2.000000,6913293,41.062500,4.500000,8,6781082,301,38184541,3181339
nlpkkt240_16,27993600,1765094,0.000000,0.000000,0.000000,100,16,26.000000,47330136,16518.375000,6.375000,8,45841018,617424,27323399,30717
thermal2_16,1227087,77457,0.000000,0.000000,0.000000,100,16,5.000000,463737,215.937500,3.625000,8,456126,1648,608298,77024
nlpkkt200_16,16240000,1032983,0.000000,0.000000,0.000000,100,16,26.000000,27650880,10627.812500,6.875000,8,26334922,427728,16235756,22227
nlpkkt240_25,27993600,1133205,0.000000,0.000000,0.000000,100,25,26.000000,30465882,12258.200000,7.360000,8,29537220,619584,24634107,25541
cage15_25,5154859,212390,0.000000,0.000000,0.000000,100,25,26.000000,5624077,9006.800000,16.080000,8,2870940,145203,4645538,204328
G3_circuit_25,1585478,63781,0.000000,0.000000,0.000000,100,25,3.000000,246067,241.680000,4.320000,8,242566,623,1074246,51486
kkt_power_25,2063494,85020,0.000000,0.000000,0.000000,100,25,6.000000,544876,687.600000,6.240000,8,485534,13410,1646614,65394
ecology1_25,1000000,40076,0.000000,0.000000,0.000000,100,25,4.000000,160076,173.560000,4.480000,8,158964,877,839711,596
asia_25,11950757,483603,0.000000,0.000000,0.000000,100,25,2.000000,1096135,7.480000,3.360000,8,1033386,28,9544905,478668
uk,18520486,754819,0.000000,0.000000,0.000000,100,25,41.000000,31003560,4103.480000,24.000000,8,23932156,132792,18520081,753811
NLR_25,4163763,166978,0.000000,0.000000,0.000000,100,25,6.000000,1001854,316.680000,4.560000,8,992366,1231,4160563,166889
coPapersDBLP_25,540486,22269,0.000000,0.000000,0.000000,100,25,82.000000,1827359,1674.160000,24.000000,8,924992,127358,540385,22207
coPapersCiteseer_25,434102,17885,0.000000,0.000000,0.000000,100,25,114.000000,2036105,742.200000,24.000000,8,841334,64538,434033,17835
copter2_25,55476,2285,0.000000,0.000000,0.000000,100,25,13.000000,30509,99.080000,7.200000,8,25896,2240,48803,2285
333SP_25,3712815,149176,0.000000,0.000000,0.000000,100,25,5.000000,892962,189.080000,3.840000,8,890292,2304,2227874,148719
AS365_25,3799275,152248,0.000000,0.000000,0.000000,100,25,6.000000,913357,297.080000,4.400000,8,910022,1580,2581423,152238
europe_25,50912018,2052196,0.000000,0.000000,0.000000,100,25,2.000000,4483809,34.720000,4.800000,8,4417094,174,46803326,2048135
M6_25,3501776,140465,0.000000,0.000000,0.000000,100,25,6.000000,842761,308.360000,4.320000,8,836072,3127,2937364,140459
thermal2_25,1227087,49833,0.000000,0.000000,0.000000,100,25,6.000000,298452,178.200000,4.000000,8,290776,940,637962,49767
nlpkkt200_25,16240000,661688,0.000000,0.000000,0.000000,100,25,26.000000,17708916,7977.920000,7.680000,8,16817344,276696,14802287,15246
