Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
nlpkkt160_25,8345600,343313,9.810671,23.656490,11.789833,100,25,27.000000,9130320,8483222,150056,5933169,9224
nlpkkt160_25,8345600,343313,10.626274,12.867580,11.946688,100,25,27.000000,9130320,8483222,150056,5933169,9224
nlpkkt240_25,27993600,1133205,35.763930,44.776068,41.337978,100,25,26.000000,30465882,29537220,619584,24634107,25541
cage15_25,5154859,212390,4.600565,8.255581,5.730777,100,25,26.000000,5624077,2870940,145203,4645538,204328
G3_circuit_25,1585478,63781,0.309203,0.331556,0.321962,100,25,3.000000,246067,242566,623,1074246,51486
kkt_power_25,2063494,85020,0.732820,0.970233,0.828894,100,25,6.000000,544876,485534,13410,1646614,65394
ecology1_25,1000000,40076,0.196600,0.208440,0.202220,100,25,4.000000,160076,158964,877,839711,596
nlpkkt160_16,8345600,530537,16.869595,18.439879,17.874468,100,16,26.000000,14174922,13484074,246564,5742760,13437
uk,18520486,754819,25.932101,44.902055,33.116412,100,25,41.000000,31003560,23932156,132792,18520081,753811
asia_25,11950757,483603,2.006100,4.950752,3.973297,100,25,2.000000,1096135,1033386,28,9544905,478668
nlpkkt240_16,27993600,1765094,58.112533,63.306045,61.539079,100,16,26.000000,47330136,45841018,617424,27323399,30717
NLR_25,4163763,166978,1.633782,3.689126,3.415531,100,25,6.000000,1001854,992366,1231,4160563,166889
cage15_16,5154859,331860,7.085548,12.654613,9.073886,100,16,25.000000,8443280,4295422,236004,4938584,304332
coPapersDBLP_25,540486,22269,1.083708,2.030993,1.454500,100,25,82.000000,1827359,924992,127358,540385,22207
G3_circuit_16,1585478,99188,0.556609,0.574595,0.566150,100,16,3.000000,382948,377460,1486,1183712,78793
kkt_power_16,2063494,132551,1.432458,1.628913,1.507591,100,16,6.000000,870155,853760,16395,1722905,100054
coPapersCiteseer_25,434102,17885,0.966700,2.626756,1.625774,100,25,114.000000,2036105,841334,64538,434033,17835
ecology1_16,1000000,62565,0.308331,0.352435,0.315380,100,16,4.000000,250120,248872,976,812226,671
copter2_25,55476,2285,0.023274,0.034593,0.030936,100,25,13.000000,30509,25896,2240,48803,2285
333SP_25,3712815,149176,1.225847,3.201541,2.247166,100,25,5.000000,892962,890292,2304,2227874,148719
AS365_25,3799275,152248,2.095841,3.297570,2.968192,100,25,6.000000,913357,910022,1580,2581423,152238
uk,18520486,1191158,40.977987,66.843770,51.012078,100,16,40.000000,46617918,35606656,235757,18519888,1189840
europe_25,50912018,2052196,16.385279,27.030506,20.713288,100,25,2.000000,4483809,4417094,174,46803326,2048135
asia_16,11950757,752896,4.723919,7.992292,6.474770,100,16,2.000000,1663625,1538066,18,10443669,747769
M6_25,3501776,140465,1.597919,2.949628,2.684815,100,25,6.000000,842761,836072,3127,2937364,140459
NLR_16,4163763,260558,4.206197,6.212390,5.985282,100,16,6.000000,1563342,1557406,3082,3121414,260390
coPapersDBLP_16,540486,34795,1.946415,3.526279,2.445548,100,16,81.000000,2823529,1806870,232371,540486,34726
nlpkkt200_25,16240000,661688,21.483158,22.998743,22.227121,100,25,26.000000,17708916,16817344,276696,14802287,15246
coPapersCiteseer_16,434102,27912,1.874695,3.141033,2.502017,100,16,95.000000,2601330,2039584,139321,434038,27900
copter2_16,55476,3571,0.045542,0.060567,0.054744,100,16,13.000000,47381,39596,3336,55093,3561
333SP_16,3712815,232725,2.657739,5.482920,4.194833,100,16,5.000000,1395634,1385582,384,2778544,232584
thermal2_25,1227087,49833,0.430389,0.479834,0.453532,100,25,6.000000,298452,290776,940,637962,49767
AS365_16,3799275,238196,5.080191,5.607841,5.462437,100,16,6.000000,1429108,1419904,3521,3795005,238167
M6_16,3501776,219229,2.999279,5.240829,4.903741,100,16,6.000000,1315186,1311328,1975,1531970,219198
europe_16,50912018,3199118,28.024355,40.013878,33.972297,100,16,2.000000,6913293,6781082,301,38184541,3181339
